"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
11065,"2","41-45","Partner","Professional","Professional","Rent Privately","<30,000, >=27,500","No","No",1994,"Scottish TV","FK16 6HG","FK16",0,0,0,29.99,0,0,0,0,0,0,0,2,"Female","Scotland",6,0,5,26.31
6113,"Zero","45-50","Widowed","Retired","Unknown","Own Home","<15,000, >=12,500","No","No",1993,"Ulster","BT19 7ZX","BT19",0,0,0,58.47,0,0,0,28.46,0,0,0,2,"Female","Northern Ireland",11.69,4.74,14.49,-7.71
1165,"2","41-45","Partner","Other","Unknown","Own Home","<20,000, >=17,500","No","Yes",1983,"Meridian","L5 7NY","L5",0,0,0,0,0,0,124.16,54.98,0,0,0,2,"Female","North West",0,29.86,29.86,63.57
5450,"2","26-30","Partner","Secretarial/Admin","Professional","Own Home","<27,500, >=25,000","No","No",1992,"Central","B69 3JE","B69",0,218.92,0,61.47,0,0,74.93,9.99,9.99,14.99,0,2,"Female","West Midlands",56.08,18.32,26.06,68.45
3718,"Zero","55-60","Partner","Professional","Professional","Own Home",">=35,000","No","No",1978,"Carlton","IG8 9EA","IG8",0,0,48.96,41.48,40.64,0,0,0,0,0,0,2,"Male","South East",26.22,0,13.69,46.52
4469,"2","31-35","Partner","Secretarial/Admin","Housewife","Rent Privately","<12,500, >=10,000","No","No",1995,"Carlton","KT4 8SN","KT4",0,19.99,74.47,25.99,5.59,0,0,0,0,0,0,2,"Male","South East",25.21,0,5.26,41.36
4028,"1","41-45","Partner","Housewife","Unknown","Own Home","<30,000, >=27,500","No","Yes",1992,"Meridian","CT2 9AS","CT2",200.86,167.94,327.84,262.86,134.65,126.4,95.95,156.37,70.94,37.43,72.95,2,"Female","South East",218.83,93.34,141.2,522.86
4014,"2","26-30","Partner","Other","Manual Worker","Own Home","<25,000, >=22,500","No","No",1993,"Carlton","EN6 3HL","EN6",0,24.96,44.99,11.47,0,3.49,0,29.49,0,0,0,2,"Female","South East",16.28,5.5,7.41,91.96
9648,"Zero","71+","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1986,"Central","B60 2PB","B60",0,25,0,0,16.48,0,0,9.48,12.98,0,0,2,"Female","West Midlands",8.3,3.74,6.49,-10.3
6282,"3","26-30","Partner","Professional","Other","Own Home",">=35,000","No","No",1988,"Central","NG10 1NR","NG10",0,24.49,0,0,0,0,0,25.18,0,0,0,2,"Male","East Midlands",4.9,4.2,4.2,-33.71
8115,"1","45-50","Partner","Housewife","Manual Worker","Own Home","<27,500, >=25,000","No","No",1971,"Central","WR15 8JD","WR15",38.98,0,0,0,34.99,0,0,0,0,0,0,2,"Female","West Midlands",14.79,0,5.83,10.01
6437,"Zero","51-55","Partner","Business Manager","Retired","Rent Privately","<25,000, >=22,500","No","No",1996,"Granada","SK9 2BA","SK9",0,0,0,49.96,38.46,29.99,28.98,33.46,7.98,4.99,0,2,"Female","North West",17.68,17.57,31.47,43.39
4898,"1","45-50","Partner","Other","Retired","Own Home","<22,500, >=20,000","No","No",1970,"Meridian","L1 3RR","L1",0,183.43,41.48,23.98,10.68,24.99,72.91,27.97,11.22,3.98,0,2,"Female","North West",51.91,23.51,28.63,106.63
4375,"1","41-45","Partner","Professional","Secretarial/Admin","Own Home",">=35,000","No","No",1997,"Granada","LA13 9JJ","LA13",0,49.94,0,267.36,10,63.89,25.46,167.86,0,16.21,253.89,1,"Male","North",65.46,87.89,89.1,260.63
1529,"Zero","51-55","Partner","Business Manager","Manual Worker","Own Home","<25,000, >=22,500","No","No",1982,"Carlton","M12 4EY","M12",7.49,29.48,23.48,23.47,0,68.41,53.43,99.39,2.49,0,0,2,"Male","North West",16.78,37.29,41.2,84.67
10953,"1","36-40","Partner","Professional","Manual Worker","Own Home",">=35,000","No","No",1989,"Central","NG16 2TP","NG16",0,24.99,0,160.92,30,143.87,9.49,72.45,39.95,16.46,23.96,2,"Female","East Midlands",43.18,51.03,76.11,178.84
6462,"1","51-55","Partner","Housewife","Retired","Own Home","<12,500, >=10,000","No","No",1972,"Granada","SK9 3BY","SK9",23.98,0.01,29.97,22.97,14.48,29.97,35.99,0,19.48,32.44,0,2,"Female","North West",18.28,19.65,20.48,44.41
3835,"Zero","55-60","Partner","Retired","Professional","Own Home","<20,000, >=17,500","No","Yes",1966,"Yorkshire","WF8 3HA","WF8",0,125.91,19.49,253.36,52.26,69.44,0,154.34,14.98,54.62,41.96,2,"Female","Unknown",90.2,55.89,90.73,239.52
1971,"Zero","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1997,"Central","GL2 4NU","GL2",135.95,92.43,46.47,94.38,10.99,176.83,9.49,81.39,1.5,20.96,16.98,2,"Female","South West",76.04,51.19,62.43,212.97
4044,"Zero","26-30","Single/Never Married","Secretarial/Admin","Professional","Own Home","<27,500, >=25,000","No","Yes",1993,"Meridian","SO50 8QA","SO50",0,24.99,0,0,0,0,0,0,0,0,0,2,"Female","South East",5,0,0,45.27
10459,"1","41-45","Partner","Housewife","Manual Worker","Own Home","<25,000, >=22,500","No","No",1975,"Yorkshire","DN19 7BP","DN19",0,0,0,0,19.98,0,0,0,0,0,0,2,"Female","Unknown",4,0,3.33,-7.22
9670,"1","26-30","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","Yes",1996,"Carlton","RM16 2JU","RM16",0,0,114.46,0,71.96,0,0,0,58.95,0,0,1,"Female","South East",37.28,9.83,21.82,35.74
4355,"Zero","51-55","Partner","Business Manager","Manual Worker","Own Home",">=35,000","No","No",1976,"Yorkshire","DN33 3DB","DN33",0,0,0,0,0,60.48,0,44.46,20.45,0,0,2,"Male","Unknown",0,20.9,20.9,90.02
3328,"1","45-50","Partner","Other","Professional","Own Home",">=35,000","No","No",1981,"Scottish TV","KA1 4TA","KA1",136.96,0,0,24.98,43.47,14.49,0,0,20.97,0,0,2,"Female","Scotland",41.08,5.91,17.32,52.85
72,"1","26-30","Partner","Professional","Business Manager","Own Home",">=35,000","No","No",1990,"Central","DE21 2TN","DE21",0,0,0,77.46,4.99,48.42,160.44,161.88,53.44,0,0,2,"Male","East Midlands",16.49,70.7,84.44,194.27
6610,"Zero","36-40","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<30,000, >=27,500","Yes","No",1986,"Central","B62 8TF","B62",9.99,0,0,0,0,26.96,22.99,80.42,1,3.99,5.49,2,"Female","West Midlands",2,23.48,21.9,13.12
11019,"Zero","61-65","Widowed","Retired","Unknown","Own Home","<22,500, >=20,000","No","No",1970,"HTV","BS31 1RQ","BS31",34.99,123.93,198.89,124.8,7.49,48.94,0,41.95,0,0,26.98,2,"Male","South West",98.02,19.65,37.2,176.86
11377,"2","31-35","Partner","Professional","Business Manager","Own Home",">=35,000","No","No",1989,"Scottish TV","G66 4NN","G66",25.47,27.99,54.47,136.91,20.48,46.97,0,0,0,1.99,0,2,"Female","Scotland",53.06,8.16,34.06,58.17
8393,"Zero","55-60","Partner","Unknown","Unknown","Own Home","<10,000, >= 8,000","No","No",1983,"Central","WR12 7QW","WR12",11.49,78.46,163.89,605.57,87.74,83.45,217.35,72.9,36.93,12,51.92,2,"Female","West Midlands",189.43,79.09,183.99,442.32
8082,"2","36-40","Partner","Housewife","Business Manager","Own Home",">=35,000","No","No",1990,"Carlton","WA3 7DL","WA3",0,0,0,0,40.97,34.48,0,0,0,0,0,2,"Female","North West",8.19,5.75,12.58,19.57
4778,"Zero","26-30","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1990,"Ulster","BT23 5LG","BT23",0,69.47,0,0,0,53.94,0,16.98,0,8.97,0,2,"Female","Northern Ireland",13.89,13.32,11.82,12.55
807,"1","41-45","Partner","Secretarial/Admin","Professional","Own Home","<27,500, >=25,000","No","No",1994,"Granada","SK8 7DY","SK8",0,29.49,0,27.99,14.47,39.95,20.48,12,3.99,0,9.99,2,"Female","North West",14.39,14.4,19.81,18.74
10136,"2","26-30","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1994,"Granada","WA1 3DT","WA1",10.99,25.99,0,99.94,0,59.98,0,0,0,4.49,0,2,"Female","North West",27.38,10.75,26.65,85.55
6998,"Zero","26-30","Single/Never Married","Secretarial/Admin","Unknown","Own Home","<10,000, >= 8,000","No","No",1992,"HTV","TA18 8EH","TA18",36.45,298.28,24.99,96.89,46.58,264.32,0,246.78,21.69,15.25,448.68,1,"Female","South West",100.64,166.12,112.71,371.45
2049,"Zero","51-55","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1972,"Granada","LL11 2RE","LL11",0,56.98,49.46,106.41,45.43,34.49,0,120.44,74.98,0,0,1,"Female","Wales",51.66,38.32,63.63,123.57
8358,"Zero","22-25","Single/Never Married","Professional","Unknown","Own Home","<27,500, >=25,000","No","No",1997,"Scottish TV","EH49 6JE","EH49",0,74.49,0,17.99,0,0,0,0,0,0,0,2,"Female","Scotland",18.5,0,3,6.15
5020,"Zero","55-60","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1990,"Meridian","SO53 5QH","SO53",0,248.95,0,27.99,0,22.46,0,0,0,0,0,2,"Female","South East",55.39,3.74,8.41,72.51
7663,"Zero","61-65","Partner","Retired","Professional","Own Home","<10,000, >= 8,000","No","No",1970,"Meridian","M6 1ES","M6",0,0,0,0,109.41,0,0,0,0,3.5,0,2,"Male","North West",21.88,0.58,18.24,8.89
8697,"2","41-45","Partner","Housewife","Manual Worker","Own Home","<17,500, >=15,000","No","No",1987,"Anglia","NN18 8JL","NN18",139.18,0,0,0,29.97,29.99,0,19.99,0,0,0,2,"Female","East Midlands",33.83,8.33,13.33,85.49
4430,"Zero","65-70","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1964,"Carlton","SM4 4QY","SM4",0,53.47,57.48,265.87,10.99,195.21,84.89,188.31,37.48,27.68,26.47,2,"Female","South East",77.56,93.34,130.46,284.53
4035,"1","31-35","Partner","Housewife","Manual Worker","Own Home","<25,000, >=22,500","No","No",1994,"Tyne Tees","TS10 2HF","TS10",6.99,0,84.97,34.99,13.98,36.48,157.87,0,29.48,0,0,2,"Female","North",28.19,37.31,45.47,111.3
4476,"1","61-65","Partner","Retired","Retired","Own Home","< 8,000, >= 4,000","No","No",1962,"Central","DY10 1LQ","DY10",0,69.46,0,0,0,44.45,12,35.98,0,41.43,0,2,"Female","West Midlands",13.89,22.31,15.41,19.99
6821,"Zero","51-55","Partner","Secretarial/Admin","Business Manager","Own Home","<22,500, >=20,000","No","No",1988,"Tyne Tees","TS22 5EZ","TS22",39.98,59.46,59.47,224.41,0,85.45,53.44,39.47,0,0,14.49,2,"Female","North",76.66,32.14,67.13,173.19
9163,"2","45-50","Partner","Professional","Unknown","Own Home","<30,000, >=27,500","No","Yes",1984,"Scottish TV","G33 6EX","G33",99.96,79.98,21.48,211.41,50.97,21.98,0,23.48,0,12.99,4.99,1,"Female","Scotland",92.76,10.57,51.31,102.01
2011,"Zero","45-50","Partner","Professional","Manual Worker","Own Home","<27,500, >=25,000","No","No",1988,"Central","B92 8TS","B92",0,19.99,18.98,13.49,38.93,40.43,62.46,79.9,12.96,0,35.97,2,"Male","West Midlands",18.28,38.62,41.36,105.58
795,"Zero","61-65","Widowed","Retired","Unknown","Own Home","<15,000, >=12,500","No","No",1995,"Carlton","KT16 9RA","KT16",0,102.96,61.98,69.47,0,20.48,0,25.99,0,0,0,2,"Female","South East",46.88,7.75,19.32,79.33
9125,"1","36-40","Partner","Professional","Unknown","Own Home","<27,500, >=25,000","No","No",1989,"Carlton","M3 9BH","M3",35.98,19.99,88.35,69.95,9.99,0,47.17,87.53,0,0,0,2,"Female","North West",44.85,22.45,35.77,115.12
5155,"Zero","31-35","Single/Never Married","Professional","Unknown","Own Home","<30,000, >=27,500","No","No",1998,"Anglia","NR15 1AR","NR15",0,0,0,0,0,0,0,23.48,0,0,0,2,"Female","East Anglia",0,3.91,3.91,20.63
5408,"Zero","61-65","Widowed","Retired","Unknown","Own Home","< 4,000","Yes","No",1986,"Yorkshire","HU16 5EU","HU16",0,49.98,0,22.99,0,9.99,0,0,0,2.49,0,2,"Female","Unknown",14.59,2.08,5.5,7.55
5384,"Zero","51-55","Partner","Retired","Secretarial/Admin","Own Home","<17,500, >=15,000","No","No",1977,"Meridian","ME10 1PW","ME10",0,0,0,0,10.99,3.49,0,7.99,0,17.97,0,2,"Female","South East",2.2,4.91,3.75,-15.73
9004,"Zero","26-30","Single/Never Married","Professional","Unknown","Own Home","<27,500, >=25,000","No","No",1992,"HTV","BS31 2UA","BS31",0,0,0,22.49,0,0,0,13.99,0,0,0,2,"Male","South West",4.5,2.33,6.08,-17.74
2435,"2","26-30","Partner","Housewife","Manual Worker","Own Home","<17,500, >=15,000","No","Yes",1990,"Yorkshire","NG34 0LD","NG34",9.99,0,9.99,40.48,55.96,42.97,66.38,24.98,6.63,11.98,18.94,2,"Female","East Midlands",23.28,28.65,39.57,95.34
4947,"2","36-40","Partner","Professional","Housewife","Own Home","<22,500, >=20,000","No","No",1987,"Yorkshire","DN15 9BD","DN15",53.46,130.45,24.99,417.31,48.44,68.45,0,133.4,0,0,0,1,"Male","Unknown",134.93,33.64,111.27,231.5
9148,"2","55-60","Partner","Manual Worker","Housewife","Rent from Council/HA","< 8,000, >= 4,000","No","No",1974,"TV South West","TR11 4PH","TR11",46.99,0,0,29.99,15.98,15.46,0,50.95,0,0,7.99,2,"Male","South West",18.59,12.4,18.73,96.86
9631,"Zero","45-50","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1976,"Meridian","BN13 2LA","BN13",159.45,53.46,24.99,74.97,51.42,73.9,27.98,65.15,14.97,4.73,255.34,1,"Female","South East",72.86,73.68,51.4,186.19
7422,"Zero","61-65","Partner","Housewife","Retired","Own Home","<25,000, >=22,500","No","No",1996,"Carlton","WA9 7QQ","WA9",0,25.01,0,83.47,0,28.99,0,0,0,0,0,2,"Female","North West",21.7,4.83,18.74,14.89
11516,"Zero","51-55","Partner","Other","Manual Worker","Own Home","<10,000, >= 8,000","No","Yes",1970,"Carlton","CM15 0LU","CM15",0,35.98,0,0,0,0,0,9.98,0,7.98,0,2,"Female","South East",7.2,2.99,1.66,4.79
125,"Zero","61-65","Widowed","Retired","Unknown","Own Home","<10,000, >= 8,000","No","No",1978,"HTV","SN15 2AR","SN15",24.49,131.48,0,57.47,10,110.44,0,0,9.49,0,0,2,"Female","South West",44.69,19.99,31.23,34.74
7258,"2","36-40","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<20,000, >=17,500","No","No",1987,"Unknown","NP16 5NJ","NP16",99.48,98.98,24.99,0,41.33,19.99,0,13.99,0,0,96.93,1,"Female","Unknown",52.96,21.82,12.55,73.9
6068,"Zero","51-55","Partner","Professional","Business Manager","Own Home",">=35,000","No","No",1997,"Yorkshire","LS22 5BY","LS22",53.47,247.43,0,143.41,17.02,7.03,0,192.34,4.49,7.99,12.46,2,"Female","Unknown",92.27,37.39,60.72,183.32
1651,"Zero","51-55","Partner","Other","Unknown","Own Home","< 8,000, >= 4,000","No","Yes",1996,"Central","DE23 7BY","DE23",52.48,0,101.46,0,34.46,34.99,0,0,0,0,0,2,"Female","East Midlands",37.68,5.83,11.58,58.77
28,"Zero","71+","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1972,"HTV","TA11 7HD","TA11",56.45,60.49,113.95,59.95,85.44,292.73,0,37.47,9.99,0,0,2,"Female","South West",75.26,56.7,80.93,144.84
4917,"3","36-40","Partner","Unknown","Housewife","Own Home","<27,500, >=25,000","Yes","No",1984,"Central","LE9 4FP","LE9",0,0,4.99,0,12.98,0,14.99,0,3.99,0,0,2,"Male","East Midlands",3.59,3.16,5.33,-23.46
6169,"Zero","71+","Partner","Retired","Retired","Own Home","< 4,000","No","No",1966,"Central","HP20 1PS","HP20",22.97,0,0,0,17.97,22.98,10.23,0,22.98,24.95,3.99,2,"Female","South East",8.19,14.19,12.36,-11.79
1374,"Zero","31-35","Partner","Professional","Secretarial/Admin","Own Home",">=35,000","No","No",1997,"Carlton","SL6 1DA","SL6",67.96,0,6.97,0,29.98,0,0,0,0,0,0,2,"Male","South East",20.98,0,5,13.88
10824,"2","41-45","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1982,"Scottish TV","ML3 9UL","ML3",0,158.95,0,0.01,0,46.98,0,25.97,0,2.73,179.87,1,"Female","Scotland",31.79,42.59,12.16,145.44
2292,"3","31-35","Partner","Secretarial/Admin","Professional","Own Home","<30,000, >=27,500","No","No",1993,"Yorkshire","LN5 9AL","LN5",0,0,0,19.99,16.47,19.99,0,28.46,0,0,47.44,2,"Female","East Midlands",7.29,15.98,14.15,20.44
5104,"2","41-45","Partner","Housewife","Professional","Own Home","<25,000, >=22,500","No","No",1972,"Carlton","UB6 8LD","UB6",0,99.98,14.49,68.47,0,31.47,0,13.99,0,0,0,2,"Female","South East",36.59,7.58,18.99,-15.58
871,"Zero","55-60","Partner","Housewife","Retired","Own Home","<12,500, >=10,000","No","No",1968,"Yorkshire","HU13 9HQ","HU13",24.49,162.97,27.99,24.98,6.48,82.41,0,69.97,1,22.46,34.97,2,"Female","Unknown",49.38,35.14,30.81,82.21
6006,"Zero","45-50","Partner","Secretarial/Admin","Professional","Rent from Council/HA","<17,500, >=15,000","No","No",1972,"Tyne Tees","NE11 9UR","NE11",102.95,89.98,29.99,193.38,0,70.97,0,38.98,0,5.99,55.97,1,"Female","North",83.26,28.65,50.56,191.32
5190,"Zero","65-70","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1986,"Carlton","PR5 8QJ","PR5",48.97,39.99,29.99,255.88,0,88.47,47.47,111.39,0,7.99,0,2,"Male","North West",74.97,42.55,83.87,163.17
8594,"3","31-35","Partner","Manual Worker","Manual Worker","Own Home","<22,500, >=20,000","No","No",1988,"TV South West","TQ4 7BU","TQ4",34.49,0,19.99,0,25,0,0,0,0,0,0,2,"Female","South West",15.9,0,4.17,13.27
2904,"Zero","65-70","Partner","Housewife","Retired","Own Home","<30,000, >=27,500","No","No",1990,"TV South West","EX31 4QP","EX31",36.78,147.45,14.99,67.97,49.32,20.48,5.99,29.47,0,0,0,2,"Female","South West",63.3,9.32,28.87,119.01
3250,"Zero","55-60","Widowed","Retired","Unknown","Own Home","<27,500, >=25,000","No","No",1998,"Anglia","CB6 1BG","CB6",19.99,168.94,0,60.44,19.49,42.48,0,108.4,0,0,0,2,"Female","East Anglia",53.77,25.15,38.47,120.7
8329,"Zero","61-65","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1955,"Yorkshire","S26 4TS","S26",0,0,37.48,0,55.96,4.99,0,0,0,0,0,2,"Female","Unknown",18.69,0.83,10.16,35.54
5119,"Zero","45-50","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1988,"Anglia","IP25 6EH","IP25",0,134.46,0,0,4,47.47,0,0,0,0,0,2,"Female","East Anglia",27.69,7.91,8.58,48.56
4605,"Zero","65-70","Widowed","Housewife","Unknown","Own Home","< 4,000","No","No",1936,"Yorkshire","DN16 3DH","DN16",0,29.99,0,21.97,0,4.99,0,48.46,0,0,0,2,"Female","Unknown",10.39,8.91,12.57,19.16
6398,"Zero","61-65","Partner","Housewife","Manual Worker","Own Home","<12,500, >=10,000","No","No",1989,"Tyne Tees","TS19 0DU","TS19",0,0,0,27.49,0,0,0,0,0,0,0,2,"Unknown","North",5.5,0,4.58,24.85
6409,"Zero","61-65","Widowed","Housewife","Unknown","Own Home","<30,000, >=27,500","No","No",1969,"Meridian","PO15 6QH","PO15",0,0,32.98,0,0,0,0,114.41,0,0,0,2,"Female","South East",6.6,19.07,19.07,119.25
10755,"Zero","65-70","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1997,"HTV","SA1 8JG","SA1",20.98,123.94,19.99,181.38,6.99,27.45,0,110.93,7.49,14.97,30.48,2,"Female","Wales",70.66,31.89,55.71,149.76
8934,"Zero","71+","Widowed","Retired","Unknown","Own Home","<17,500, >=15,000","No","No",1989,"Carlton","L22 7SZ","L22",0,44.98,29.49,63.45,19.48,31.46,93.96,176.88,9.99,0,138.59,1,"Female","North West",31.48,75.15,65.87,176.02
313,"2","41-45","Divorced/Separated","Business Manager","Unknown","Own Home","<27,500, >=25,000","No","No",1996,"Granada","WA16 9AP","WA16",0,80.96,0,0,0,13.98,0,62.44,1.49,0,0,2,"Female","North West",16.19,12.99,12.99,3.74
9287,"1","41-45","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1997,"Anglia","PE2 5HF","PE2",37.98,231.39,44.99,182.42,14.48,56.91,8.99,45.95,0,0,0,2,"Female","East Anglia",102.25,18.64,51.46,181.79
6092,"Zero","51-55","Partner","Professional","Professional","Own Home",">=35,000","No","No",1982,"Central","SY4 3NT","SY4",0,0,0,0,0,0,5.99,0,17.98,0,0,2,"Female","West Midlands",0,4,4,-29.31
3287,"Zero","55-60","Partner","Unknown","Unknown","Own Home","<12,500, >=10,000","No","No",1989,"Granada","LA8 8NX","LA8",29.99,0,307.39,0,45.98,0,0,0,39.49,0,0,2,"Male","North",76.67,6.58,14.25,101.38
1823,"Zero","65-70","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1993,"HTV","TA20 1LP","TA20",74.48,0,18,0,0,0,0,70.46,0,0,0,2,"Male","South West",18.5,11.74,11.74,77.39
949,"1","55-60","Partner","Unknown","Secretarial/Admin","Own Home","<17,500, >=15,000","Yes","No",1972,"Carlton","HA5 5NH","HA5",29.99,22.49,20.49,77.95,7.49,18.98,52.44,11.99,9.99,0,0,2,"Male","South East",31.68,15.57,29.81,70.58
2149,"Zero","22-25","Single/Never Married","Professional","Unknown","Own Home","<27,500, >=25,000","No","No",1997,"Granada","CH3 6DL","CH3",233.92,70.45,259.42,88.45,47.95,48.94,132.42,47.48,16.46,14.98,0,2,"Female","North West",140.04,43.38,63.62,250.62
9618,"Zero","55-60","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1994,"TV South West","TQ3 1LQ","TQ3",0.01,47.95,0.01,33.42,43.9,40.94,0,49.09,6.49,2.49,9.57,2,"Female","South West",25.06,18.1,28.97,108.86
10475,"Zero","61-65","Partner","Retired","Business Manager","Own Home","<17,500, >=15,000","No","No",1985,"Granada","BB3 3BJ","BB3",14.99,19.99,0,191.88,0,57.47,0,44.94,2,0,0,2,"Female","North West",45.37,17.4,49.38,90.89
11439,"2","41-45","Partner","Business Manager","Other","Own Home","<27,500, >=25,000","No","No",1980,"TV South West","PL11 3DR","PL11",0,0,0,129.98,0,13.47,0,133.9,0,0,0,2,"Male","South West",26,24.56,46.23,88.43
11103,"Zero","31-35","Single/Never Married","Professional","Unknown","Own Home","<20,000, >=17,500","No","No",1994,"Yorkshire","HU15 1EU","HU15",0,11.99,0,139.4,0,29.49,0,13.99,0,0,0,2,"Female","Unknown",30.28,7.25,30.48,108.75
1877,"Zero","55-60","Partner","Professional","Professional","Own Home","<20,000, >=17,500","No","No",1986,"TV South West","TR5 0XZ","TR5",15.48,141.55,103.28,104.79,0.48,100.8,0,14.48,3.49,2.99,0,2,"Female","South West",73.12,20.29,37.34,146.12
1048,"Zero","36-40","Divorced/Separated","Professional","Unknown","Own Home","<25,000, >=22,500","No","No",1987,"Scottish TV","G33 6JU","G33",0,0,0,0,0,0,0,18.98,0,0,0,2,"Female","Scotland",0,3.16,3.16,-16.48
10556,"Zero","22-25","Single/Never Married","Professional","Manual Worker","Own Home","<27,500, >=25,000","No","No",1995,"Central","NG31 8RX","NG31",0,412.27,0,111.02,0.02,108.26,8.49,388.39,63.42,9.99,180.38,2,"Female","East Midlands",104.66,126.49,113.27,362.22
4591,"2","31-35","Partner","Unknown","Unknown","Own Home","<30,000, >=27,500","No","No",1995,"Carlton","WD3 3DD","WD3",0,0,109.98,138.44,66.97,129.34,193.21,13.49,9.48,9.48,24.46,2,"Female","South East",63.08,63.24,91.82,210.43
9654,"2","41-45","Partner","Unknown","Secretarial/Admin","Own Home","<22,500, >=20,000","Yes","No",1983,"Grampian","AB23 8FT","AB23",8.98,119.93,49.49,145.88,142.36,129.88,34.44,106.42,38.43,9.49,21.98,2,"Male","Scotland",93.33,56.77,99.57,324.62
10396,"1","45-50","Partner","Retired","Housewife","Own Home",">=35,000","No","No",1980,"Meridian","RG7 3LR","RG7",4.97,0,0,0.03,9.99,2.47,48.93,17.48,10,0,26.92,2,"Male","South East",3,17.63,14.82,53.84
10436,"Zero","45-50","Partner","Secretarial/Admin","Retired","Own Home","<22,500, >=20,000","No","No",1992,"Carlton","PR4 9AA","PR4",0,0,0,165.41,0,39.96,0,35.47,2,0,9.98,2,"Female","North West",33.08,14.57,40.47,33.82
582,"Zero","51-55","Partner","Retired","Other","Own Home","<17,500, >=15,000","No","No",1984,"Meridian","ME8 9NY","ME8",0,0,0,0,0,0,0,0,29.97,0,0,2,"Male","South East",0,5,5,20.09
6650,"1","36-40","Partner","Manual Worker","Manual Worker","Own Home","<17,500, >=15,000","No","No",1984,"TV South West","TQ5 9JA","TQ5",87.05,148.43,505.54,169.79,33.43,92.9,56.46,57.93,11.99,0,159.36,2,"Female","South West",188.85,63.11,70.42,338.56
9344,"Zero","41-45","Partner","Housewife","Manual Worker","Own Home","<30,000, >=27,500","No","Yes",1997,"Carlton","WD5 0TU","WD5",0,0,0,72.46,0,0,0,0,0,0,0,2,"Female","South East",14.49,0,12.08,-45.38
6018,"2","41-45","Single/Never Married","Business Manager","Unknown","Own Home","<27,500, >=25,000","No","Yes",1994,"Central","LE7 3FR","LE7",0,0,0,0,0,0,0,0,0,0,11.99,2,"Female","East Midlands",0,2,0,17.64
6004,"Zero","55-60","Partner","Retired","Unknown","Own Home","<20,000, >=17,500","No","Yes",1966,"Central","LE11 3RP","LE11",0,0.01,14.99,14.49,33.48,46.7,0,66.93,0,11.98,0,2,"Male","East Midlands",12.59,20.94,26.93,32.84
7369,"2","41-45","Divorced/Separated","Professional","Other","Own Home",">=35,000","No","No",1983,"Carlton","EN5 2EY","EN5",0,88.95,9.49,42.96,0,7.47,0,0,0,3.99,0,2,"Male","South East",28.28,1.91,8.41,39.21
4155,"2","36-40","Partner","Professional","Professional","Own Home",">=35,000","Yes","Yes",1980,"Granada","BL8 1DY","BL8",0,0,0,27.99,0,0,25.47,0,0,9.48,0,2,"Female","North West",5.6,5.83,8.91,20.14
1656,"Zero","51-55","Partner","Housewife","Business Manager","Own Home",">=35,000","No","No",1970,"Central","NG5 8EP","NG5",56.97,111.35,90.95,181.72,33.45,93.96,15.99,132.78,43.96,10.49,4.99,1,"Female","East Midlands",94.89,50.36,83.64,211.82
507,"Zero","22-25","Partner","Unknown","Manual Worker","Own Home","<27,500, >=25,000","No","No",1994,"Yorkshire","S20 2GT","S20",0,67.47,0,0,0,19.49,0,0,0,0,0,2,"Female","Unknown",13.49,3.25,3.25,40.66
3447,"3","41-45","Partner","Other","Housewife","Own Home","<17,500, >=15,000","No","No",1996,"Meridian","SP5 2AW","SP5",39.96,82.47,58.96,422.82,39.48,79.36,50.97,505.02,8.97,27.45,66.97,2,"Female","South West",128.74,123.12,184.44,383.17
